,Algorithm,test_rmse,test_mae,fit_time,test_time,Precision,Recall,F-measure,NDCG
0,KNNBaseline (pearson_baseline),0.8511004357970081,0.649309824895583,2.0537259578704834,1.7526400089263916,0.8410382513661224,0.4139894083098312,0.5548577760252646,0.9645258587912089
1,CoClustering,0.9404767094301048,0.7293572171201889,0.4432871341705322,0.024040937423706055,0.7922404371584728,0.38591133201317784,0.5190070929375902,0.9549839987792023
2,BaselineOnly,0.8702358690694372,0.6715850398602887,0.02756810188293457,0.01694798469543457,0.8316939890710406,0.40953391028739816,0.5488224872851142,0.9602767773928114
3,KNNWithZScore,0.8901628303492938,0.6771841929191551,0.042391061782836914,0.40229201316833496,0.8061202185792375,0.40246008777171727,0.5368798618000078,0.9590761414057986
4,KNNWithMeans,0.8914563008685675,0.6832589205719344,0.029297828674316406,0.365023136138916,0.8049180327868879,0.39170518176653696,0.5269671530776988,0.9585732196731951
5,KNNBaseline,0.8705941197567286,0.6668960093116193,0.05275893211364746,0.4947237968444824,0.8060109289617511,0.41621026770128616,0.548951409825403,0.9592680129825317
6,NMF,0.9187841725610446,0.7028628859610548,0.4833681583404541,0.024605751037597656,0.7867213114754126,0.393842642792244,0.5249091323386432,0.9559882976968173
7,SlopeOne,0.8976142722066657,0.6877024309444162,1.2151579856872559,1.5427520275115967,0.80857923497268,0.4060968055906366,0.5406568227641103,0.9594082828303792
8,SVDpp,0.8634326152487617,0.6619430875261367,18.38199234008789,3.228609800338745,0.8322677595628442,0.39829021101920603,0.5387541416256498,0.962390312348537
9,SVD,0.8742521418834227,0.6709946936942844,0.2774007320404053,0.030174970626831055,0.8202185792349752,0.4020562506980812,0.5396069666887975,0.9600791792600254
10,KNNBasic,0.9459490573140822,0.7261802140020698,0.03166794776916504,0.3488430976867676,0.7901639344262318,0.4280010980907569,0.5552466580121173,0.9612613611311985
