,userId,user_vector,avg_rating,num_movies_rated
0,1,"[4.35820896 4.73913043 4.55882353 4.23880597 4.26315789 4.33333333
 4.51851852 4.31578947 4.2972973  4.13333333 3.27272727 4.21428571
 4.34375    4.47058824 4.76470588 0.         0.         4.33333333
 0.         0.        ]",4.349462365591398,186
1,2,"[4.16666667 0.         0.         4.2        0.         0.
 3.75       4.0625     3.75       3.625      0.         4.
 3.83333333 4.5        0.         4.33333333 3.66666667 3.5
 0.         0.        ]",3.9130434782608696,23
2,3,"[2.27777778 0.5        0.5        1.0625     3.         0.5
 0.80769231 3.22727273 0.5        4.         4.7        5.
 4.         0.5        0.5        0.         0.         0.
 0.         0.        ]",2.2580645161290325,31
3,4,"[3.63636364 3.75       3.625      3.46428571 4.         3.42857143
 3.52941176 3.13636364 3.72727273 3.48484848 4.         3.35
 2.90909091 3.57142857 4.27272727 0.         3.         3.85714286
 4.         0.        ]",3.554913294797688,173
4,5,"[3.14285714 4.4        4.28571429 3.3        4.4        2.77777778
 3.65       3.         3.625      3.5        3.         0.
 2.5        3.33333333 4.4        0.         3.66666667 3.
 0.         0.        ]",3.5142857142857142,35
5,6,"[3.83333333 4.         3.60526316 3.36893204 3.6        3.50877193
 3.63063063 3.51785714 3.4        3.53703704 3.3125     3.58333333
 3.57894737 3.58333333 4.         0.         4.5        3.55555556
 3.         0.        ]",3.4701195219123506,251
6,7,"[3.39772727 3.54166667 3.30769231 3.15       3.33333333 2.60869565
 3.13095238 3.30769231 3.30434783 3.54166667 3.875      3.125
 3.20833333 3.45       3.41666667 0.         2.14285714 1.5
 3.25       0.        ]",3.2745901639344264,122
7,8,"[3.25       5.         4.66666667 3.15       3.25       3.53846154
 3.8        3.33333333 3.875      3.75       4.5        4.
 3.         3.66666667 5.         0.         4.5        1.
 0.         0.        ]",3.5526315789473686,38
8,9,"[3.5        0.         0.         3.64285714 0.         3.
 3.47058824 3.6        3.75       2.5        1.8        4.5
 3.         3.5        3.         0.         0.         4.
 4.         0.        ]",3.2162162162162162,37
9,10,"[3.63461538 3.86363636 3.5        3.27419355 3.53571429 3.38709677
 3.24545455 3.5        3.11538462 3.08333333 1.75       2.16666667
 2.         4.25       3.25       0.         3.35714286 0.
 0.         0.        ]",3.330357142857143,112
10,11,"[3.47058824 0.         0.         3.5        2.         4.18181818
 4.11764706 3.56756757 3.8        3.65384615 5.         4.33333333
 3.71428571 4.5        0.         0.         0.         4.
 0.         0.        ]",3.784313725490196,51
11,12,"[3.         0.         0.         4.34615385 4.25       4.52941176
 4.5        4.         0.         4.         0.         0.
 4.5        4.5        0.         0.         0.         0.
 0.         0.        ]",4.403846153846154,26
12,13,"[4.2        0.         0.         3.3        3.         3.8
 3.61538462 4.375      4.         4.125      4.         4.5
 4.25       3.5        0.         0.         0.         4.
 0.         0.        ]",3.76,25
13,14,"[3.44444444 0.         3.         2.53846154 1.         3.42857143
 3.66666667 3.33333333 2.71428571 3.41666667 4.         5.
 3.         4.         0.         0.         4.         4.
 0.         0.        ]",3.3157894736842106,38
14,15,"[3.38888889 2.9375     2.59375    3.47222222 2.85714286 4.16666667
 3.73255814 3.25510204 3.46666667 3.41463415 3.9        3.41666667
 3.66       4.5        2.66666667 0.         3.25       1.
 0.         0.        ]",3.4722222222222223,108
15,16,"[3.78125    3.9375     4.         3.725      3.96153846 3.66666667
 3.7972973  3.61904762 3.80555556 3.84782609 3.375      3.81818182
 3.73076923 3.9        0.         4.         4.5        3.
 4.         0.        ]",3.7564102564102564,78
16,17,"[4.23076923 4.25       4.         4.14705882 4.2        4.
 4.19736842 4.2        4.26666667 4.26       4.16666667 4.11111111
 4.35294118 4.5        3.5        3.5        4.16666667 4.2
 3.75       0.        ]",4.2023809523809526,84
17,18,"[3.63675214 3.75       3.58064516 3.51209677 3.68085106 3.68055556
 3.89329268 3.59821429 3.91509434 3.78731343 3.20833333 4.07142857
 3.61458333 4.         3.70833333 3.9375     3.65714286 4.28571429
 3.85714286 0.        ]",3.7238805970149254,402
18,19,"[2.77165354 2.8974359  2.66666667 2.64604811 2.84415584 2.64
 2.55       2.71428571 2.83333333 2.5        2.23076923 2.91666667
 2.62616822 2.85714286 2.85714286 0.         0.         2.66666667
 3.28571429 0.        ]",2.597864768683274,562
19,20,"[3.45890411 4.10576923 3.84444444 3.70224719 3.89189189 3.98571429
 3.75       2.70833333 3.2        2.64814815 3.1        2.6875
 3.18421053 3.66666667 4.41860465 3.75       4.5        1.5
 1.5        0.        ]",3.556701030927835,194
20,21,"[3.68214286 3.24358974 3.13636364 3.21296296 3.16326531 3.22222222
 2.94871795 3.46978022 3.21311475 3.58247423 1.53846154 3.28125
 3.41566265 3.6        2.73076923 0.         3.62222222 3.66666667
 3.         4.        ]",3.26271186440678,354
21,22,"[2.5        2.70833333 2.75       2.51515152 1.96428571 2.33333333
 2.70689655 3.         2.66666667 2.85416667 2.625      2.63636364
 2.34615385 1.75       4.5        1.83333333 1.75       4.
 4.5        0.        ]",2.6842105263157894,95
22,23,"[3.35714286 3.77777778 3.5        3.45       3.83333333 3.35
 3.65322581 3.60869565 3.640625   3.68965517 4.         4.125
 3.90625    3.9        0.         3.25       3.         4.
 3.94444444 0.        ]",3.6597938144329896,97
23,24,"[3.66071429 4.25       4.25       3.56756757 3.65384615 3.47916667
 3.71875    3.64893617 3.9        3.63333333 3.625      3.70833333
 3.65       3.9        3.5        0.         3.85       0.
 0.         0.        ]",3.647727272727273,88
24,25,"[4.81818182 4.66666667 4.66666667 5.         5.         5.
 5.         4.83333333 5.         5.         0.         5.
 4.71428571 5.         0.         0.         5.         0.
 0.         0.        ]",4.857142857142857,21
25,26,"[2.6        0.         3.         3.33333333 0.         0.
 3.33333333 3.         3.42857143 3.45454545 0.         4.
 2.         0.         0.         0.         3.         0.
 0.         0.        ]",3.235294117647059,17
26,27,"[3.8        3.64285714 3.32432432 3.475      3.625      4.
 3.72222222 3.66666667 3.57142857 3.27272727 2.         4.5
 3.46428571 3.58333333 4.         0.         4.         3.85714286
 4.         0.        ]",3.574074074074074,108
27,28,"[3.20967742 3.375      3.125      2.83783784 3.13043478 2.98484848
 3.         3.11258278 2.92561983 2.91875    2.76315789 2.9
 3.296875   3.3375     4.33333333 2.5        3.72727273 3.22222222
 3.         0.        ]",3.037280701754386,456
28,29,"[4.14705882 3.5        4.25       3.5        3.83333333 4.4
 4.2375     4.10416667 4.03571429 4.05555556 4.5        4.35714286
 4.07142857 4.32352941 3.16666667 4.25       4.16666667 4.42857143
 5.         0.        ]",4.1461538461538465,65
29,30,"[4.8125     4.6        4.66666667 4.6        4.75       5.
 5.         4.8        4.8        4.5        3.         0.
 4.81818182 5.         0.         0.         5.         0.
 0.         0.        ]",4.814814814814815,27
30,31,"[4.         3.75       4.         4.05882353 3.75       3.76923077
 3.66666667 4.30769231 3.33333333 4.375      3.         5.
 4.         5.         4.5        0.         0.         0.
 0.         0.        ]",3.925,40
31,32,"[3.33333333 3.         3.2        3.69230769 3.3        3.7037037
 4.02702703 3.52380952 4.05882353 3.75       2.         3.625
 3.33333333 3.5        3.         4.         0.         3.
 0.         0.        ]",3.7439024390243905,82
32,33,"[4.125      3.83333333 4.         3.76595745 3.5        3.85106383
 3.84444444 4.18181818 4.15789474 3.85714286 4.5        3.85714286
 4.16666667 4.14285714 4.         0.         3.         4.
 5.         0.        ]",3.848,125
33,34,"[3.75       3.75       2.75       3.171875   3.26923077 3.375
 3.16666667 3.67073171 3.5625     3.625      3.42857143 2.6
 3.26315789 2.5        0.         0.         3.16666667 3.5
 0.         0.        ]",3.3840579710144927,69
34,35,"[3.66666667 0.         0.         3.88888889 0.         3.625
 4.14285714 3.66666667 4.66666667 4.66666667 0.         5.
 3.         2.         0.         0.         0.         3.5
 0.         0.        ]",4.0,18
35,36,"[2.94444444 0.         2.         2.3        2.25       2.3
 2.59090909 2.57142857 2.68181818 3.04545455 3.         3.0625
 2.125      2.9        0.         0.         0.         2.
 4.5        0.        ]",2.6458333333333335,48
36,37,"[3.75       3.         3.5        4.         3.5        3.
 4.125      3.6        4.2        4.16666667 5.         0.
 4.25       4.         3.5        0.         5.         4.
 0.         0.        ]",4.117647058823529,17
37,38,"[3.08333333 3.2        3.125      3.28571429 3.33333333 3.14285714
 3.15384615 3.33333333 3.         3.35714286 2.         4.
 2.6        3.83333333 3.2        5.         3.         2.6
 0.         0.        ]",3.225806451612903,62
38,39,"[3.73076923 3.31578947 3.21052632 3.91666667 3.6        3.66666667
 4.10344828 4.13043478 4.33333333 4.2        4.6        3.85714286
 4.         4.         3.         0.         4.         4.
 2.         0.        ]",4.025,80
39,40,"[3.13333333 3.16666667 3.38461538 3.67647059 3.5        3.73684211
 4.175      3.57894737 4.         3.85714286 2.66666667 4.
 2.71428571 4.         3.16666667 0.         3.         4.25
 0.         0.        ]",3.7439024390243905,82
40,41,"[2.53703704 3.88888889 3.33333333 3.43571429 2.72222222 3.38
 3.36764706 2.46875    3.2804878  3.11538462 2.66666667 3.31818182
 2.1        2.81818182 3.         1.5        1.7        4.
 3.5        0.        ]",3.2011494252873565,174
41,42,"[3.60714286 4.         2.9        3.3908046  3.47368421 3.54794521
 3.72727273 3.43396226 3.69090909 3.54651163 2.76923077 3.84210526
 3.31578947 3.76470588 3.83333333 4.33333333 5.         4.
 5.         0.        ]",3.5426136363636362,352
42,43,"[4.66666667 5.         4.95833333 4.54545455 5.         4.42105263
 4.37142857 4.25925926 4.21428571 4.30769231 4.66666667 4.5
 4.69230769 3.5        5.         0.         5.         4.
 0.         0.        ]",4.527472527472527,91
43,44,"[3.25       2.66666667 2.         3.41176471 2.         3.33333333
 3.7        3.23529412 3.66666667 3.25       3.         3.
 2.57142857 0.         0.         0.         0.         0.
 0.         0.        ]",3.3157894736842106,38
44,45,"[4.         4.45238095 3.86585366 3.63920455 3.65789474 3.95614035
 4.055      4.00609756 4.21794872 4.04285714 3.94444444 4.14285714
 3.66935484 4.53846154 4.3        4.         4.71428571 3.66666667
 0.         0.        ]",3.8589341692789967,319
45,46,"[4.         5.         5.         4.11111111 4.5        4.25
 3.81818182 3.88235294 4.         4.         4.5        4.33333333
 4.         4.         5.         0.         0.         0.
 0.         0.        ]",3.9705882352941178,34
